# Standard Model Evoultion for 1 keV < T < 10 MeV as calculated in Escudero 2001.04466, JCAP 05 (2020) 048
# Includes NLO-QED thermal corrections, and the electron mass and spin-statistics in the collision terms
# Neff          = 3.044
# O_nu/mnu (eV) = 93.07
# s0 (cm^-3)    = 2906.92
# g_s0          = 3.930
# g_*0          = 3.383
# Definitions: a is the dimensionless scale factor, z_gam = a T_gam/m_e , z_nu = a T_nu/m_e, N is defined in Eq A.17 in 2001.04466
# t (s)        T_gam (MeV)    T_gam/T_nue    T_gam/T_numu   g*             gs             a              z_gam          z_nue          z_numu         N              
4.3307028E-02  4.1304750E+00  1.0000240E+00  1.0000350E+00  1.0732326E+01  1.0730616E+01  1.2373749E-01  1.0001851E+00  1.0001611E+00  1.0001501E+00  1.9458792E-03  
4.4112440E-02  4.0926066E+00  1.0000250E+00  1.0000364E+00  1.0732228E+01  1.0730490E+01  1.2488290E-01  1.0001890E+00  1.0001640E+00  1.0001526E+00  1.9720985E-03  
4.4932836E-02  4.0550854E+00  1.0000261E+00  1.0000379E+00  1.0732127E+01  1.0730361E+01  1.2603894E-01  1.0001930E+00  1.0001670E+00  1.0001551E+00  1.9984895E-03  
4.5768497E-02  4.0179081E+00  1.0000272E+00  1.0000395E+00  1.0732024E+01  1.0730229E+01  1.2720568E-01  1.0001971E+00  1.0001700E+00  1.0001576E+00  2.0250415E-03  
4.6619707E-02  3.9810717E+00  1.0000283E+00  1.0000411E+00  1.0731918E+01  1.0730095E+01  1.2838324E-01  1.0002013E+00  1.0001730E+00  1.0001602E+00  2.0517535E-03  
4.7486754E-02  3.9445730E+00  1.0000295E+00  1.0000428E+00  1.0731810E+01  1.0729957E+01  1.2957171E-01  1.0002056E+00  1.0001761E+00  1.0001628E+00  2.0786095E-03  
4.8369935E-02  3.9084090E+00  1.0000307E+00  1.0000445E+00  1.0731699E+01  1.0729817E+01  1.3077119E-01  1.0002099E+00  1.0001792E+00  1.0001654E+00  2.1056076E-03  
4.9269550E-02  3.8725764E+00  1.0000320E+00  1.0000464E+00  1.0731585E+01  1.0729673E+01  1.3198179E-01  1.0002144E+00  1.0001824E+00  1.0001681E+00  2.1327341E-03  
5.0185904E-02  3.8370725E+00  1.0000333E+00  1.0000482E+00  1.0731469E+01  1.0729526E+01  1.3320361E-01  1.0002190E+00  1.0001856E+00  1.0001707E+00  2.1599956E-03  
5.1119310E-02  3.8018940E+00  1.0000347E+00  1.0000502E+00  1.0731349E+01  1.0729376E+01  1.3443675E-01  1.0002236E+00  1.0001889E+00  1.0001734E+00  2.1873867E-03  
5.2070085E-02  3.7670380E+00  1.0000362E+00  1.0000522E+00  1.0731227E+01  1.0729223E+01  1.3568133E-01  1.0002284E+00  1.0001922E+00  1.0001762E+00  2.2149150E-03  
5.3038553E-02  3.7325016E+00  1.0000377E+00  1.0000543E+00  1.0731102E+01  1.0729066E+01  1.3693744E-01  1.0002333E+00  1.0001956E+00  1.0001790E+00  2.2425617E-03  
5.4025044E-02  3.6982818E+00  1.0000392E+00  1.0000565E+00  1.0730973E+01  1.0728906E+01  1.3820519E-01  1.0002383E+00  1.0001990E+00  1.0001818E+00  2.2703199E-03  
5.5029893E-02  3.6643757E+00  1.0000408E+00  1.0000587E+00  1.0730841E+01  1.0728742E+01  1.3948470E-01  1.0002433E+00  1.0002025E+00  1.0001846E+00  2.2981796E-03  
5.6053443E-02  3.6307805E+00  1.0000425E+00  1.0000611E+00  1.0730706E+01  1.0728575E+01  1.4077607E-01  1.0002486E+00  1.0002060E+00  1.0001875E+00  2.3261224E-03  
5.7096042E-02  3.5974934E+00  1.0000442E+00  1.0000635E+00  1.0730568E+01  1.0728403E+01  1.4207941E-01  1.0002539E+00  1.0002096E+00  1.0001903E+00  2.3541418E-03  
5.8158044E-02  3.5645113E+00  1.0000460E+00  1.0000660E+00  1.0730426E+01  1.0728228E+01  1.4339483E-01  1.0002593E+00  1.0002133E+00  1.0001933E+00  2.3822398E-03  
5.9239813E-02  3.5318317E+00  1.0000479E+00  1.0000686E+00  1.0730281E+01  1.0728049E+01  1.4472245E-01  1.0002649E+00  1.0002170E+00  1.0001962E+00  2.4104126E-03  
6.0341715E-02  3.4994517E+00  1.0000498E+00  1.0000713E+00  1.0730132E+01  1.0727866E+01  1.4606238E-01  1.0002706E+00  1.0002207E+00  1.0001992E+00  2.4386683E-03  
6.1464126E-02  3.4673685E+00  1.0000519E+00  1.0000741E+00  1.0729980E+01  1.0727679E+01  1.4741474E-01  1.0002764E+00  1.0002245E+00  1.0002022E+00  2.4669832E-03  
6.2607429E-02  3.4355795E+00  1.0000540E+00  1.0000770E+00  1.0729823E+01  1.0727488E+01  1.4877964E-01  1.0002823E+00  1.0002283E+00  1.0002053E+00  2.4953457E-03  
6.3772014E-02  3.4040819E+00  1.0000561E+00  1.0000800E+00  1.0729663E+01  1.0727293E+01  1.5015719E-01  1.0002884E+00  1.0002323E+00  1.0002083E+00  2.5237533E-03  
6.4958276E-02  3.3728731E+00  1.0000584E+00  1.0000832E+00  1.0729498E+01  1.0727093E+01  1.5154752E-01  1.0002946E+00  1.0002362E+00  1.0002114E+00  2.5521961E-03  
6.6166619E-02  3.3419504E+00  1.0000607E+00  1.0000864E+00  1.0729330E+01  1.0726888E+01  1.5295074E-01  1.0003010E+00  1.0002402E+00  1.0002146E+00  2.5806650E-03  
6.7397457E-02  3.3113112E+00  1.0000631E+00  1.0000897E+00  1.0729157E+01  1.0726679E+01  1.5436698E-01  1.0003075E+00  1.0002443E+00  1.0002177E+00  2.6091519E-03  
6.8651208E-02  3.2809529E+00  1.0000656E+00  1.0000932E+00  1.0728980E+01  1.0726466E+01  1.5579635E-01  1.0003141E+00  1.0002484E+00  1.0002209E+00  2.6376456E-03  
